"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 01 17:14:55 IST 2023","Tue Aug 01 17:14:55 IST 2023","76","Mobile App Test Suite","Android Test Cases","com.algoworks.automationmobile.base_RR.AndroidTestCases","com.algoworks.automationmobile.base_RR.AndroidTestCases","testAndroidUserActions","testAndroidUserActions",""
"passed","Tue Aug 01 17:14:47 IST 2023","Tue Aug 01 17:14:55 IST 2023","8169","Mobile App Test Suite","Android Test Cases","com.algoworks.automationmobile.base_RR.AndroidTestCases","com.algoworks.automationmobile.base_RR.AndroidTestCases","testAndroidUserActions","testAndroidUserActions",""
"passed","Tue Aug 01 12:20:38 IST 2023","Tue Aug 01 12:20:38 IST 2023","72","Mobile App Test Suite","Android Test Cases","com.algoworks.automationmobile.base_RR.AndroidTestCases","com.algoworks.automationmobile.base_RR.AndroidTestCases","testUserActions","testUserActions",""
"passed","Tue Aug 01 12:20:38 IST 2023","Tue Aug 01 12:20:39 IST 2023","1064","Mobile App Test Suite","Android Test Cases","com.algoworks.automationmobile.base_RR.AndroidTestCases","com.algoworks.automationmobile.base_RR.AndroidTestCases","testUserActions","testUserActions",""
"passed","Mon Jul 31 17:57:43 IST 2023","Mon Jul 31 17:57:43 IST 2023","184","Mobile App Test Suite","Android Test Cases","com.algoworks.automationmobile.base_RR.AndroidTestCases","com.algoworks.automationmobile.base_RR.AndroidTestCases","testUserActions","testUserActions",""
"passed","Tue Aug 01 17:14:55 IST 2023","Tue Aug 01 17:14:55 IST 2023","73","Mobile App Test Suite","Android Test Cases","com.algoworks.automationmobile.base_RR.AndroidTestCases","com.algoworks.automationmobile.base_RR.AndroidTestCases","testAndroidUserActions","testAndroidUserActions",""
"passed","Tue Aug 01 17:14:55 IST 2023","Tue Aug 01 17:14:56 IST 2023","1032","Mobile App Test Suite","Android Test Cases","com.algoworks.automationmobile.base_RR.AndroidTestCases","com.algoworks.automationmobile.base_RR.AndroidTestCases","testAndroidUserActions","testAndroidUserActions",""
"passed","Tue Aug 01 12:20:38 IST 2023","Tue Aug 01 12:20:38 IST 2023","122","Mobile App Test Suite","Android Test Cases","com.algoworks.automationmobile.base_RR.AndroidTestCases","com.algoworks.automationmobile.base_RR.AndroidTestCases","testUserActions","testUserActions",""
"passed","Tue Aug 01 17:14:41 IST 2023","Tue Aug 01 17:14:42 IST 2023","78","Mobile App Test Suite","Android Test Cases","com.algoworks.automationmobile.base_RR.AndroidTestCases","com.algoworks.automationmobile.base_RR.AndroidTestCases","testAndroidUserActions","testAndroidUserActions",""
"passed","Tue Aug 01 17:15:38 IST 2023","Tue Aug 01 17:15:38 IST 2023","39","Mobile App Test Suite","Android Test Cases","com.algoworks.automationmobile.base_RR.iOSTestCases","com.algoworks.automationmobile.base_RR.iOSTestCases","testIosUserActions","testIosUserActions",""
